25
23	24	15	3	-1	4	6	13	10	14	-1	12	21	2	8	25	9	17	5	19	1	-1	18	20	11
7	14	18	17	4	24	-1	-1	25	23	5	20	10	13	-1	11	12	8	-1	15	-1	19	9	-1	22
-1	2	25	16	20	-1	-1	22	9	19	1	-1	7	-1	24	-1	4	21	3	23	14	17	-1	8	6
9	-1	21	19	8	5	11	3	-1	-1	14	23	18	-1	-1	24	-1	7	1	-1	12	2	-1	-1	25
6	-1	10	1	12	8	17	16	-1	21	25	3	4	19	-1	20	-1	-1	22	14	-1	15	-1	13	-1
4	20	19	15	6	23	21	-1	-1	9	-1	16	-1	-1	10	2	14	-1	7	17	-1	1	13	-1	3
10	3	5	25	13	17	19	15	22	-1	-1	1	9	7	-1	8	11	6	12	16	4	18	-1	-1	14
21	16	9	22	2	14	13	-1	8	-1	12	18	-1	24	23	-1	20	1	-1	4	-1	-1	17	-1	7
17	18	11	8	7	1	12	-1	-1	16	2	14	-1	-1	5	10	23	15	-1	13	22	9	20	24	-1
12	-1	-1	-1	14	-1	25	7	-1	-1	3	13	17	4	11	18	22	5	-1	9	15	6	19	-1	-1
22	15	12	13	10	25	4	-1	23	3	7	19	-1	5	2	21	-1	20	8	-1	6	16	14	1	18
18	21	-1	7	16	15	24	-1	5	12	10	-1	-1	-1	1	-1	-1	25	-1	6	11	23	4	2	13
24	19	23	2	-1	7	20	-1	16	17	18	-1	14	21	13	1	-1	-1	10	11	9	3	8	22	-1
3	9	-1	14	-1	2	1	10	11	13	-1	24	-1	8	15	22	19	16	18	12	7	20	25	21	5
25	4	-1	11	1	-1	-1	8	21	22	6	9	3	-1	16	23	5	13	2	-1	17	10	24	19	15
13	10	-1	21	24	6	-1	17	19	-1	-1	4	2	14	18	-1	-1	-1	-1	25	16	5	-1	9	20
2	-1	1	9	18	21	16	12	-1	5	24	-1	6	-1	17	19	8	-1	-1	20	13	-1	11	14	10
14	5	17	4	-1	11	10	23	20	25	22	21	1	-1	12	6	16	-1	-1	-1	19	-1	3	7	-1
8	23	22	6	19	9	3	2	14	7	13	11	16	10	20	17	21	12	-1	-1	25	4	15	18	1
20	7	16	-1	11	13	-1	18	24	-1	19	5	8	-1	-1	4	-1	9	14	22	-1	-1	23	6	-1
-1	22	-1	10	23	16	8	20	6	11	17	2	-1	-1	25	-1	24	19	4	3	18	14	-1	5	-1
19	17	-1	20	3	10	5	25	12	-1	-1	8	-1	18	7	9	13	14	6	1	23	-1	22	15	16
16	12	2	18	21	-1	9	-1	1	4	11	6	-1	-1	14	5	25	23	17	8	3	-1	7	10	19
11	-1	14	5	25	19	23	21	13	15	9	10	12	3	-1	16	7	22	20	18	8	-1	1	17	2
1	-1	13	24	9	3	7	14	17	18	-1	22	5	-1	19	-1	2	10	-1	21	20	-1	-1	25	4
