25
10	15	-1	13	22	5	7	2	11	19	20	-1	-1	24	21	18	6	-1	16	1	-1	3	4	-1	23
17	-1	-1	-1	3	8	4	15	23	-1	-1	18	19	12	22	5	7	-1	20	-1	2	-1	1	10	11
5	19	23	-1	-1	-1	18	13	14	-1	-1	-1	15	11	1	12	-1	8	3	22	7	-1	20	6	-1
-1	21	8	-1	18	20	10	1	22	17	25	9	-1	-1	14	13	11	4	23	-1	-1	12	24	19	5
1	4	20	11	25	12	6	16	3	9	13	2	5	7	-1	15	17	24	10	19	18	-1	-1	8	21
12	11	10	1	6	19	25	9	4	3	2	-1	18	14	20	-1	-1	5	-1	-1	8	21	17	16	7
8	13	-1	19	9	17	-1	22	18	23	-1	-1	6	10	24	-1	12	16	-1	4	5	20	11	3	15
22	-1	15	3	23	2	-1	8	21	12	-1	5	9	-1	25	11	1	18	-1	20	4	14	6	13	10
-1	-1	18	17	7	13	-1	-1	-1	20	8	-1	12	15	11	22	-1	-1	-1	-1	-1	23	-1	1	25
20	2	25	16	5	11	1	24	7	15	21	-1	-1	23	13	6	14	10	17	8	12	-1	18	22	9
15	5	17	4	-1	-1	22	12	1	-1	18	13	-1	-1	-1	24	19	3	8	-1	-1	25	10	23	20
24	10	3	21	13	14	15	18	-1	4	-1	23	1	-1	-1	20	-1	12	-1	9	6	8	-1	17	-1
11	7	16	12	20	25	19	3	8	-1	9	14	10	22	4	17	2	23	21	6	13	1	15	18	-1
18	25	-1	9	2	23	24	17	-1	7	3	15	-1	20	19	10	13	11	22	-1	21	5	-1	12	-1
19	-1	-1	6	-1	10	13	-1	16	11	12	24	21	-1	17	-1	25	15	-1	18	9	7	3	2	14
3	-1	4	20	19	-1	-1	7	24	8	14	6	13	1	9	-1	-1	22	11	15	10	2	5	-1	12
21	12	2	18	-1	15	11	14	20	6	23	17	-1	8	5	19	3	7	13	10	22	-1	-1	24	1
23	22	7	10	-1	1	-1	25	13	2	19	4	24	-1	12	9	18	21	14	5	-1	-1	-1	20	6
9	8	13	-1	1	16	23	19	-1	22	10	11	2	21	15	4	20	6	-1	-1	3	18	7	14	17
25	6	14	5	11	-1	9	4	12	10	-1	20	7	18	16	-1	8	1	-1	17	19	15	23	-1	13
14	1	-1	23	12	-1	3	-1	-1	-1	5	21	22	9	18	8	-1	19	6	-1	20	10	25	7	-1
2	16	-1	-1	-1	24	-1	23	15	-1	1	19	20	4	3	-1	10	17	25	-1	-1	-1	-1	5	8
7	18	11	8	17	6	-1	5	19	14	15	-1	-1	13	10	-1	22	-1	9	24	-1	-1	-1	4	3
6	20	19	15	4	22	8	10	25	16	24	-1	14	17	2	3	5	13	-1	-1	-1	9	21	11	18
-1	3	5	25	10	7	20	-1	-1	1	-1	12	11	16	-1	14	4	2	18	-1	17	24	19	-1	-1
