16
-1	15	-1	-1	5	13	2	-1	-1	-1	-1	-1	6	8	-1	-1
9	14	2	-1	10	3	6	-1	8	-1	13	-1	16	12	-1	-1
-1	16	-1	-1	7	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	2
-1	-1	-1	5	9	-1	4	-1	-1	11	-1	-1	-1	7	-1	-1
5	-1	15	8	16	2	10	-1	-1	12	-1	6	-1	-1	-1	-1
-1	7	13	-1	8	-1	-1	5	10	-1	-1	3	12	-1	-1	-1
-1	-1	1	12	-1	6	-1	3	-1	14	-1	-1	-1	5	11	-1
-1	-1	-1	6	-1	-1	12	-1	11	8	-1	5	-1	4	-1	15
7	11	4	-1	-1	10	-1	2	-1	9	8	-1	-1	-1	-1	-1
14	5	6	-1	-1	-1	15	13	-1	-1	-1	-1	-1	-1	-1	9
8	1	-1	15	3	14	-1	9	4	-1	-1	-1	-1	11	12	-1
13	-1	9	-1	11	8	-1	-1	-1	5	15	-1	-1	10	-1	6
1	6	7	4	13	9	3	-1	5	-1	-1	-1	-1	15	-1	12
-1	3	-1	-1	1	-1	7	16	15	-1	-1	-1	-1	6	-1	-1
15	8	5	-1	-1	12	-1	-1	9	-1	-1	-1	13	3	-1	7
10	2	11	-1	-1	-1	-1	-1	-1	-1	12	14	1	-1	16	-1
