16
-1	3	10	1	-1	16	-1	-1	-1	-1	-1	7	-1	13	14	8
-1	4	-1	12	13	10	-1	3	-1	5	6	-1	-1	9	-1	11
-1	-1	-1	-1	-1	-1	1	-1	14	-1	10	9	-1	2	-1	16
-1	-1	-1	-1	6	-1	-1	-1	-1	12	4	1	15	-1	10	5
-1	-1	-1	-1	4	2	3	-1	15	8	16	12	-1	6	-1	14
-1	-1	-1	15	1	-1	-1	16	6	7	13	5	11	-1	4	-1
4	-1	12	-1	7	-1	-1	9	-1	-1	-1	-1	8	5	-1	-1
-1	16	8	-1	-1	5	10	15	3	-1	-1	-1	-1	12	2	1
16	-1	-1	7	-1	6	-1	1	-1	15	2	-1	5	-1	9	13
12	-1	4	-1	15	7	11	-1	9	1	-1	16	-1	-1	-1	-1
1	-1	9	11	16	4	2	10	-1	14	3	13	-1	7	15	-1
15	10	-1	-1	-1	9	8	5	12	6	-1	-1	16	-1	-1	-1
-1	-1	11	-1	-1	-1	5	-1	7	13	1	3	2	-1	8	10
10	1	-1	16	-1	3	-1	8	5	-1	12	6	14	15	11	9
-1	13	6	5	-1	1	16	14	-1	2	9	-1	-1	4	12	7
-1	2	15	9	11	12	-1	-1	10	-1	8	-1	13	-1	-1	-1
