16
7	4	8	1	16	11	10	2	3	5	9	15	-1	12	14	13
16	-1	10	-1	-1	7	14	9	1	8	2	-1	5	-1	15	-1
-1	-1	15	5	8	4	-1	-1	16	13	14	12	-1	2	-1	9
6	9	2	14	12	5	13	15	10	-1	-1	-1	-1	3	16	1
14	15	-1	4	6	-1	16	11	2	-1	13	10	7	8	-1	12
-1	10	16	-1	-1	14	7	4	-1	12	11	8	-1	9	-1	15
12	-1	3	11	9	1	15	8	-1	7	5	14	13	16	10	-1
2	1	-1	8	-1	10	12	5	-1	15	3	16	-1	-1	6	-1
4	-1	6	2	-1	16	-1	-1	13	14	15	5	-1	10	9	3
1	16	-1	-1	-1	6	-1	12	-1	2	10	-1	15	-1	13	8
13	8	12	3	-1	2	9	-1	7	16	1	4	14	5	11	6
10	11	5	15	7	13	3	-1	12	6	8	9	2	1	4	16
-1	5	1	6	-1	12	11	13	15	-1	4	2	-1	14	-1	7
3	-1	11	10	-1	15	-1	16	8	9	-1	-1	1	13	2	4
8	12	-1	16	1	9	2	7	14	10	6	13	11	15	3	-1
15	2	13	7	14	8	4	3	5	-1	16	1	9	6	12	10
