16
7	10	5	11	16	-1	4	6	13	3	12	-1	15	8	14	-1
-1	16	1	-1	-1	8	12	14	4	15	-1	9	2	13	10	-1
12	9	15	2	-1	13	-1	3	-1	-1	-1	14	-1	16	6	7
8	13	-1	14	5	10	15	2	16	6	-1	7	-1	11	12	-1
11	-1	13	12	10	15	2	5	1	4	14	-1	-1	-1	8	16
16	5	2	8	-1	7	-1	1	11	-1	13	3	6	10	15	4
10	-1	9	4	-1	16	8	11	2	7	15	5	12	-1	1	14
14	1	-1	15	3	12	6	4	9	-1	10	8	-1	2	-1	13
13	15	11	3	-1	-1	10	9	8	5	-1	1	16	6	7	12
6	-1	-1	1	12	3	5	13	-1	10	2	15	8	-1	9	11
9	-1	12	-1	8	4	7	16	-1	11	6	13	-1	5	3	15
-1	7	8	-1	1	6	11	-1	-1	9	-1	16	13	14	2	10
-1	4	14	16	2	11	9	12	15	13	8	10	3	7	5	-1
2	12	3	9	-1	-1	-1	-1	-1	14	7	4	11	1	13	8
-1	11	10	-1	6	1	13	8	3	2	16	12	14	15	4	9
15	8	6	-1	4	-1	-1	7	5	-1	-1	-1	10	12	16	-1
