16
9	-1	10	4	-1	-1	1	-1	8	16	2	11	-1	-1	6	-1
7	3	2	13	-1	-1	11	10	-1	14	1	4	15	-1	-1	12
-1	-1	5	6	-1	-1	-1	-1	-1	3	12	-1	-1	2	-1	-1
8	15	-1	-1	2	7	-1	-1	6	13	-1	-1	1	5	4	-1
-1	-1	-1	-1	11	-1	14	-1	-1	15	-1	7	4	1	-1	-1
3	16	-1	-1	13	2	7	15	11	4	-1	-1	9	14	-1	8
10	8	-1	7	-1	-1	4	6	3	12	5	-1	-1	-1	-1	2
-1	13	-1	-1	16	12	-1	8	2	1	14	-1	6	7	10	3
-1	12	8	-1	1	-1	6	13	4	10	-1	-1	-1	-1	-1	9
5	1	3	-1	14	-1	10	-1	15	9	7	-1	12	4	2	-1
16	-1	-1	9	-1	-1	12	-1	14	8	6	2	5	10	-1	1
-1	7	6	10	15	-1	-1	2	12	5	-1	1	-1	-1	3	13
12	-1	-1	14	3	6	2	5	9	-1	-1	-1	-1	-1	-1	4
13	-1	-1	-1	-1	14	8	-1	10	6	3	12	2	9	-1	-1
-1	9	-1	-1	-1	11	13	-1	-1	-1	-1	14	-1	-1	1	-1
4	-1	-1	8	12	-1	15	-1	-1	7	13	5	-1	-1	-1	10
