16
5	-1	16	12	3	14	4	8	-1	-1	7	13	11	1	10	6
-1	14	6	13	5	2	15	10	3	11	16	4	8	-1	7	9
-1	11	3	8	13	9	7	16	6	1	12	10	4	-1	-1	5
4	7	9	10	11	6	1	-1	2	14	5	8	3	15	-1	16
12	9	-1	3	-1	8	2	1	10	16	13	7	5	6	14	11
2	15	13	14	16	12	9	-1	8	6	-1	11	10	3	1	-1
10	5	11	-1	6	3	13	-1	9	2	15	-1	12	16	4	8
6	16	8	1	7	11	-1	-1	5	12	14	3	2	9	15	13
9	-1	15	2	8	13	6	7	1	4	11	14	-1	5	3	10
3	6	10	5	-1	16	-1	2	7	8	9	15	13	4	11	1
-1	1	7	-1	4	-1	3	9	13	-1	10	12	6	-1	8	14
-1	8	14	4	10	1	5	-1	16	3	6	2	-1	7	12	15
11	4	12	15	2	10	16	6	14	13	1	9	-1	8	5	3
7	13	1	16	12	5	8	15	4	10	3	6	14	11	9	2
8	3	5	9	1	4	14	-1	11	7	2	16	15	10	6	12
-1	10	2	-1	9	7	11	3	-1	15	8	-1	-1	13	16	4
