16
10	11	2	7	-1	-1	-1	-1	1	5	12	14	16	3	9	13
14	4	-1	1	7	16	3	12	8	-1	9	-1	5	-1	10	-1
16	9	15	3	2	10	5	-1	11	-1	-1	4	8	14	12	-1
8	5	12	13	14	1	-1	11	16	10	3	15	2	-1	6	7
-1	7	1	5	10	13	6	4	-1	8	15	-1	12	-1	16	9
13	15	9	14	5	11	-1	16	12	-1	6	-1	7	8	1	-1
4	16	8	-1	9	3	7	1	-1	11	-1	-1	6	-1	-1	10
-1	-1	10	6	8	-1	12	14	-1	-1	-1	9	13	5	4	11
-1	-1	-1	9	6	4	10	-1	15	3	13	-1	-1	16	2	-1
2	6	11	-1	1	5	14	15	10	9	8	16	-1	7	-1	12
-1	3	-1	10	13	2	16	-1	6	-1	-1	11	9	1	15	4
15	13	7	16	12	9	11	3	2	-1	4	-1	14	10	-1	6
6	10	3	15	16	7	-1	9	5	-1	2	8	1	13	11	14
7	14	4	2	15	6	-1	5	9	13	11	1	10	12	3	16
5	1	-1	11	3	12	-1	-1	4	14	10	-1	-1	9	7	-1
-1	12	13	-1	11	14	1	10	3	15	16	7	4	6	5	2
