16
9	-1	13	-1	8	15	-1	3	-1	2	1	6	11	-1	10	7
3	4	-1	16	7	-1	6	-1	-1	13	-1	9	5	1	14	-1
-1	-1	6	-1	-1	13	-1	-1	7	-1	-1	3	-1	9	12	15
-1	-1	-1	15	-1	5	9	12	16	-1	-1	-1	-1	13	3	-1
-1	2	12	8	13	3	7	-1	-1	-1	16	-1	10	14	15	-1
13	-1	5	-1	-1	2	8	-1	14	7	4	-1	9	12	-1	-1
7	-1	16	14	10	9	12	5	-1	-1	-1	-1	2	3	-1	13
-1	-1	15	-1	-1	-1	-1	6	-1	12	3	-1	-1	-1	-1	-1
2	13	-1	4	-1	-1	5	8	6	-1	-1	-1	1	7	-1	14
-1	5	14	11	-1	6	13	15	8	3	-1	7	-1	2	16	-1
-1	7	-1	-1	12	-1	10	-1	2	16	5	14	3	11	13	-1
-1	3	-1	6	2	7	11	-1	10	1	-1	4	12	15	-1	-1
-1	16	4	-1	-1	8	-1	7	1	-1	-1	-1	15	10	11	12
-1	12	-1	9	6	1	-1	-1	-1	-1	10	-1	-1	5	-1	-1
10	-1	3	5	16	-1	2	11	4	-1	-1	13	-1	6	-1	9
11	-1	-1	-1	-1	14	-1	10	3	-1	8	-1	13	-1	2	-1
