25
11	10	12	6	1	18	20	2	14	22	7	21	-1	16	8	23	15	24	5	13	-1	9	4	-1	-1
24	15	22	23	-1	9	25	-1	19	5	10	14	6	-1	4	11	7	1	18	20	16	-1	-1	12	-1
14	18	4	7	17	12	11	8	15	16	25	23	-1	1	24	22	19	21	9	3	5	6	10	-1	13
2	25	20	-1	16	4	13	21	23	3	9	19	18	-1	12	6	-1	-1	10	8	1	-1	7	15	11
13	21	-1	9	19	6	24	7	10	1	-1	20	11	3	5	25	2	12	16	4	14	22	-1	23	-1
-1	-1	-1	-1	-1	5	23	13	7	2	-1	22	14	8	-1	15	10	-1	24	19	6	-1	3	9	12
9	6	17	3	14	19	-1	16	12	18	11	13	-1	-1	2	5	20	-1	25	21	4	15	-1	24	8
19	23	5	24	2	15	1	4	-1	10	16	-1	20	6	7	12	-1	9	8	22	18	13	14	-1	21
15	12	10	22	13	17	21	20	24	8	23	3	4	9	25	18	16	6	14	1	-1	2	11	19	5
21	8	16	18	7	3	14	25	6	9	5	12	24	19	15	13	23	11	4	-1	10	-1	22	17	20
3	5	13	10	25	11	8	6	16	12	22	24	19	15	17	14	18	4	-1	-1	20	21	9	1	7
18	11	7	17	8	-1	10	15	13	25	3	16	12	4	1	21	9	22	20	-1	2	5	19	14	6
16	9	2	21	22	20	-1	1	-1	19	-1	-1	13	5	14	7	-1	-1	17	11	12	-1	15	18	24
1	24	14	12	23	22	18	5	9	21	2	10	25	7	-1	-1	6	15	19	16	3	11	17	13	4
20	19	6	4	15	14	2	-1	17	7	18	9	21	11	23	3	1	5	13	12	8	10	25	16	22
17	-1	3	19	20	13	9	-1	1	6	12	2	5	25	-1	-1	11	23	22	15	21	7	24	8	-1
8	13	9	-1	24	2	15	10	21	11	-1	18	7	14	3	4	12	20	6	25	23	19	5	22	16
-1	2	-1	-1	18	25	5	23	8	17	1	4	9	24	-1	19	13	3	7	10	11	14	20	-1	15
22	7	23	15	10	24	12	-1	3	4	6	11	8	20	16	9	14	18	-1	5	17	25	13	2	1
6	14	25	11	5	7	16	22	18	20	13	15	23	-1	19	-1	-1	8	1	-1	9	4	12	10	3
23	-1	19	8	6	21	17	12	5	24	-1	7	-1	2	9	1	4	-1	15	18	13	-1	16	11	10
5	17	15	14	4	16	6	18	2	13	20	25	-1	23	-1	24	8	19	-1	7	22	12	1	21	9
7	16	11	20	12	10	-1	9	22	-1	24	1	-1	18	13	17	21	-1	23	-1	19	3	8	5	25
10	-1	24	13	-1	1	-1	11	25	23	19	8	22	17	6	20	5	16	12	9	15	18	2	4	14
25	1	18	-1	9	8	19	3	20	15	4	5	-1	12	21	10	22	13	11	-1	24	-1	6	7	23
