12 40
AAAAA BBBBB CCCCC DDDDD EEEEE FFFFF GGGGG HHHHH IIIII JJJJJ KKKKK LLLLL
EEEEE IIIII
DDDDD KKKKK
AAAAA DDDDD
CCCCC HHHHH
AAAAA GGGGG
FFFFF LLLLL
FFFFF KKKKK
FFFFF GGGGG
BBBBB LLLLL
GGGGG IIIII
AAAAA EEEEE
BBBBB HHHHH
BBBBB EEEEE
CCCCC KKKKK
AAAAA LLLLL
IIIII KKKKK
BBBBB DDDDD
BBBBB GGGGG
AAAAA HHHHH
JJJJJ KKKKK
DDDDD LLLLL
FFFFF IIIII
BBBBB KKKKK
DDDDD HHHHH
CCCCC IIIII
AAAAA IIIII
BBBBB JJJJJ
EEEEE HHHHH
DDDDD FFFFF
GGGGG LLLLL
GGGGG HHHHH
CCCCC EEEEE
CCCCC JJJJJ
DDDDD JJJJJ
HHHHH JJJJJ
FFFFF HHHHH
IIIII JJJJJ
HHHHH IIIII
CCCCC LLLLL
CCCCC FFFFF

1
