12 38
AAAAA BBBBB CCCCC DDDDD EEEEE FFFFF GGGGG HHHHH IIIII JJJJJ KKKKK LLLLL
AAAAA JJJJJ
BBBBB FFFFF
DDDDD KKKKK
IIIII LLLLL
AAAAA IIIII
EEEEE JJJJJ
EEEEE HHHHH
FFFFF HHHHH
GGGGG LLLLL
CCCCC DDDDD
KKKKK LLLLL
CCCCC KKKKK
IIIII JJJJJ
EEEEE IIIII
HHHHH LLLLL
BBBBB LLLLL
BBBBB IIIII
AAAAA LLLLL
DDDDD FFFFF
AAAAA EEEEE
JJJJJ LLLLL
DDDDD GGGGG
CCCCC HHHHH
BBBBB GGGGG
BBBBB JJJJJ
AAAAA HHHHH
GGGGG KKKKK
BBBBB CCCCC
FFFFF JJJJJ
BBBBB KKKKK
BBBBB HHHHH
BBBBB EEEEE
DDDDD IIIII
DDDDD LLLLL
IIIII KKKKK
CCCCC EEEEE
CCCCC LLLLL
AAAAA FFFFF

1
